num_K log_likelihood
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
1 -5855307.001427
2 -5789688.714125
2 -5787862.638021
2 -5787755.850646
2 -5785445.161974
2 -5784128.318226
2 -5789662.065644
2 -5786801.718879
2 -5787080.040268
2 -5790334.443996
2 -5791073.161267
2 -5789049.672739
2 -5787566.423411
2 -5788167.413898
2 -5787786.444902
2 -5787455.484581
2 -5790564.131658
2 -5787462.703419
2 -5789438.192744
2 -5788773.532142
2 -5788422.771185
2 -5788610.507026
2 -5787755.850623
2 -5786970.691267
2 -5791073.725217
2 -5787403.028746
2 -5788867.123516
2 -5787252.456905
2 -5788824.555005
2 -5789955.075102
2 -5787755.850714
3 -5719840.817157
3 -5727850.424945
3 -5721101.795910
3 -5725465.690022
3 -5726674.677475
3 -5726194.314247
3 -5721536.634878
3 -5719157.113545
3 -5719699.252481
3 -5726430.522024
3 -5723112.092573
3 -5718932.990033
3 -5718952.916881
3 -5720615.620985
3 -5725582.503372
3 -5720197.835837
3 -5724943.033561
3 -5725916.157073
3 -5725404.875845
3 -5726172.804447
3 -5726720.968261
3 -5729793.980332
3 -5715304.235831
3 -5722560.865702
3 -5724835.783175
3 -5728166.212284
3 -5718959.045639
3 -5728766.019701
3 -5718999.423271
3 -5720950.730833
4 -5654452.137524
4 -5658293.361981
4 -5660374.867909
4 -5667828.059125
4 -5662606.715006
4 -5663055.238412
4 -5664454.242636
4 -5660091.073108
4 -5654269.547327
4 -5664415.174295
4 -5660477.696762
4 -5662153.876415
4 -5655267.578106
4 -5655542.849323
4 -5665329.440693
4 -5656762.189581
4 -5662412.525759
4 -5654210.126686
4 -5661202.632779
4 -5660007.372368
4 -5654126.205531
4 -5656500.543996
4 -5656494.334396
4 -5664882.582252
4 -5657778.390702
4 -5656565.638160
4 -5656551.944932
4 -5666299.501413
4 -5657281.581920
4 -5664572.966815
5 -5602713.777852
5 -5597676.882829
5 -5601403.774342
5 -5597664.807959
5 -5601147.340107
5 -5599007.208490
5 -5609884.680527
5 -5599920.320430
5 -5605352.528587
5 -5600390.237082
5 -5605520.220182
5 -5600269.724474
5 -5600227.817708
5 -5600106.215585
5 -5595975.757839
5 -5602585.301121
5 -5601951.120755
5 -5607890.706078
5 -5596050.959552
5 -5602981.325414
5 -5597093.321687
5 -5599332.852476
5 -5616661.461510
5 -5602795.022672
5 -5601397.394827
5 -5605206.579534
5 -5601081.085296
5 -5600209.032249
5 -5607538.652917
5 -5600300.153530
6 -5558366.046992
6 -5552749.774942
6 -5545095.213551
6 -5543339.616351
6 -5559383.563825
6 -5550185.361411
6 -5557833.334696
6 -5543698.819980
6 -5548194.247752
6 -5549434.717861
6 -5552975.903730
6 -5550118.325621
6 -5549139.219478
6 -5547789.578691
6 -5548647.843647
6 -5548801.124664
6 -5559136.309109
6 -5550526.455108
6 -5552559.972563
6 -5546802.880381
6 -5550880.362681
6 -5548513.081469
6 -5542363.912167
6 -5546117.372838
6 -5549264.153746
6 -5559522.493743
6 -5557597.170867
6 -5553097.997819
6 -5551793.891765
6 -5543730.713438
7 -5499752.560055
7 -5494672.784522
7 -5504875.461631
7 -5493287.542271
7 -5502202.111304
7 -5497511.689196
7 -5505803.526272
7 -5499857.023675
7 -5507817.800224
7 -5492456.197395
7 -5496929.879965
7 -5506788.032788
7 -5503750.531408
7 -5505925.214841
7 -5491194.072981
7 -5498705.690139
7 -5497190.806471
7 -5495850.796563
7 -5495909.958187
7 -5507871.772113
7 -5500920.347231
7 -5502327.886880
7 -5494954.100407
7 -5496782.219298
7 -5491368.167107
7 -5496790.269815
7 -5513022.694828
7 -5497220.451430
7 -5496376.177426
7 -5493869.519098
